Muscle,Muscle_ID,Head_Type,Head_Type_ID,Unique_Head,Unique_Head_ID,Chirality_Flag,Model_Reference_Name,Modele_Reference_ID
Rectus Femoris,040,Rectus Femoris Vastus Medialis (Internus),04004,Rectus Femoris Vastus Medialis (Internus) Right,040042,T,Vastus_medialis_muscle_right,156
Pectineus,041,Pectineus,04101,Pectineus Left,041011,T,Pectineus_muscle_left,157
Pectineus,041,Pectineus,04101,Pectineus Right,041012,T,Pectineus_muscle_right,158
Deep External Rotators,042,Deep External Rotators Piriformis,04201,Deep External Rotators Piriformis Left,042011,T,Piriformis_muscle_left,159
Deep External Rotators,042,Deep External Rotators Piriformis,04201,Deep External Rotators Piriformis Right,042012,T,Piriformis_muscle_right,160
Deep External Rotators,042,Deep External Rotators Gemellus Superior,04202,Deep External Rotators Gemellus Superior Left,042021,T,Superior_gemellus_muscle_left,161
Deep External Rotators,042,Deep External Rotators Gemellus Superior,04202,Deep External Rotators Gemellus Superior Right,042022,T,Superior_gemellus_muscle_right,162
Deep External Rotators,042,Deep External Rotators Obturator Internus,04203,Deep External Rotators Obturator Internus Left,042031,T,Obturator_internus_left,163
Deep External Rotators,042,Deep External Rotators Obturator Internus,04203,Deep External Rotators Obturator Internus Right,042032,T,Obturator_internus_right,164
Deep External Rotators,042,Deep External Rotators Gemellus Inferior,04204,Deep External Rotators Gemellus Inferior Left,042041,T,Inferior_gemellus_muscle_left,165
Deep External Rotators,042,Deep External Rotators Gemellus Inferior,04204,Deep External Rotators Gemellus Inferior Right,042042,T,Inferior_gemellus_muscle_right,166
Deep External Rotators,042,Deep External Rotators Obturator Externus,04205,Deep External Rotators Obturator Externus Left,042051,T,Obturator_internus_left,167
Deep External Rotators,042,Deep External Rotators Obturator Externus,04205,Deep External Rotators Obturator Externus Right,042052,T,Obturator_internus_right,168
Deep External Rotators,042,Deep External Rotators Quadratus Femoris,04206,Deep External Rotators Quadratus Femoris Left,042061,T,Quadratus_femoris_muscle_left,169
Deep External Rotators,042,Deep External Rotators Quadratus Femoris,04206,Deep External Rotators Quadratus Femoris Right,042062,T,Quadratus_femoris_muscle_right,170
Quadriceps,043,Quadraiceps Rectus Femoris,04301,Quadraiceps Rectus Femoris Left,043011,T,Rectus_femoris_muscle_left,171
Quadriceps,043,Quadraiceps Rectus Femoris,04301,Quadraiceps Rectus Femoris Right,043012,T,Rectus_femoris_muscle_right,172
Quadriceps,043,Quadraiceps Vastus Lateralis (Externus),04302,Quadraiceps Vastus Lateralis (Externus) Left,043021,T,Vastus_lateralis_muscle_left,173
Quadriceps,043,Quadraiceps Vastus Lateralis (Externus),04302,Quadraiceps Vastus Lateralis (Externus) Right,043022,T,Vastus_lateralis_muscle_right,174
Quadriceps,043,Quadraiceps Vastus Intermedius,04303,Quadraiceps Vastus Intermedius Left,043031,T,Vastus_intermedius_muscle_left,175
Quadriceps,043,Quadraiceps Vastus Intermedius,04303,Quadraiceps Vastus Intermedius Right,043032,T,Vastus_intermedius_muscle_right,176
Quadriceps,043,Quadraiceps Vastus Medialis (Internus),04304,Quadraiceps Vastus Medialis (Internus) Left,043041,T,Vastus_medialis_muscle_left,177
Quadriceps,043,Quadraiceps Vastus Medialis (Internus),04304,Quadraiceps Vastus Medialis (Internus) Right,043042,T,Vastus_medialis_muscle_right,178
Hamstrings,044,Hamstrings Biceps Femoris Long Head,04401,Hamstrings Biceps Femoris Long Head Left,044011,T,Long_head_of_biceps_femoris_left,179
Hamstrings,044,Hamstrings Biceps Femoris Long Head,04401,Hamstrings Biceps Femoris Long Head Right,044012,T,Long_head_of_biceps_femoris_right,180
Hamstrings,044,Hamstrings Biceps Femoris Short Head,04402,Hamstrings Biceps Femoris Short Head Left,044021,T,Short_head_of_biceps_femoris_left,181
Hamstrings,044,Hamstrings Biceps Femoris Short Head,04402,Hamstrings Biceps Femoris Short Head Right,044022,T,Short_head_of_biceps_femoris_right,182
Hamstrings,044,Hamstrings Semitendinosus,04403,Hamstrings Semitendinosus Left,044031,T,Semitendinosus_muscle_left,183
Hamstrings,044,Hamstrings Semitendinosus,04403,Hamstrings Semitendinosus Right,044032,T,Semitendinosus_muscle_right,184
Hamstrings,044,Hamstrings Semimembranosus,04404,Hamstrings Semimembranosus Left,044041,T,Semimembranosus_muscle_left,185
Hamstrings,044,Hamstrings Semimembranosus,04404,Hamstrings Semimembranosus Right,044042,T,Semimembranosus_muscle_right,186
Adductors,045,Adductor Brevis,04501,Adductor Brevis Left,045011,T,Adductor_brevis_left,187
Adductors,045,Adductor Brevis,04501,Adductor Brevis Right,045012,T,Adductor_brevis_right,188
Adductors,045,Adductor Longus,04502,Adductor Longus Left,045021,T,Adductor_longus_left,189
Adductors,045,Adductor Longus,04502,Adductor Longus Right,045022,T,Adductor_longus_right,190
Adductors,045,Adductor Magnus,04503,Adductor Magnus Left,045031,T,Adductor_magnus_left,191
Adductors,045,Adductor Magnus,04503,Adductor Magnus Right,045032,T,Adductor_magnus_right,192
Gracilis ,046,Gracilis,04601,Gracilis Left,046011,T,Gracilis_muscle_left,193
Gracilis ,046,Gracilis,04601,Gracilis Right,046012,T,Gracilis_muscle_right,194
Adductor Magnus,047,Adductor Brevis,04701,Adductor Brevis Left,047011,T,Adductor_brevis_left,195
Adductor Magnus,047,Adductor Brevis,04701,Adductor Brevis Right,047012,T,Adductor_brevis_right,196
Adductor Magnus,047,Adductor Longus,04702,Adductor Longus Left,047021,T,Adductor_longus_left,197
Adductor Magnus,047,Adductor Longus,04702,Adductor Longus Right,047022,T,Adductor_longus_right,198
Adductor Magnus,047,Adductor Magnus,04703,Adductor Magnus Left,047031,T,Adductor_magnus_left,199
Adductor Magnus,047,Adductor Magnus,04703,Adductor Magnus Right,047032,T,Adductor_magnus_right,200
Gastrocnemius,048,Gastrocnemius Medial Head,04801,Gastrocnemius Medial Head Left,048011,T,Medial_head_of_gastrocnemius_left,201
Gastrocnemius,048,Gastrocnemius Medial Head,04801,Gastrocnemius Medial Head Right,048012,T,Medial_head_of_gastrocnemius_right,202
Gastrocnemius,048,Gastrocnemius Lateral Head,04802,Gastrocnemius Lateral Head Left,048021,T,Lateral_head_of_gastrocnemius_left,203
Gastrocnemius,048,Gastrocnemius Lateral Head,04802,Gastrocnemius Lateral Head Right,048022,T,Lateral_head_of_gastrocnemius_right,204
Soleus,049,Soleus,04901,Soleus Left,049011,T,Soleus_muscle_left,205
Soleus,049,Soleus,04901,Soleus Right,049012,T,Soleus_muscle_right,206
Tibialis Anterior,050,Tibialis Anterior,05001,Tibialis Anterior Left,050011,T,Tibialis_anterior_muscle_left,207
Tibialis Anterior,050,Tibialis Anterior,05001,Tibialis Anterior Right,050012,T,Tibialis_anterior_muscle_right,208
Popilteus,051,Popliteus,05101,Popliteus Left,051011,T,Popliteus_muscle_left,209
Popilteus,051,Popliteus,05101,Popliteus Right,051012,T,Popliteus_muscle_right,210
